Coder Initial,"Potential_Law_On_MKT ((1=True, 0=False)",Notes in Support of LawonMkt,Potential Stocks or Sectors,decisionType,docket,term,dateDecision,caseName,dateArgument,,caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes
dk,0,This case would appear to impact hospitals who get Medicare Reembursement but it is really a case about tolling of a statute of limitations,,1,11-1231,2012,1/22/2013,"KATHLEEN SEBELIUS, SECRETARY OF HEALTH AND HUMAN SERVICES, PETITIONER v. AUBURN REGIONAL MEDICAL CENTER et al.",12/4/2012,,2012-011,2012-011-01,2012-011-01-01,2012-011-01-01-01,1/22/2013,1,,,,2013 U.S. LEXIS 915,2012,1704,Roberts,11-1231,"KATHLEEN SEBELIUS, SECRETARY OF HEALTH AND HUMAN SERVICES, PETITIONER v. AUBURN REGIONAL MEDICAL CENTER et al.",12/4/2012,,363,,180,,1,63,,0,55,,32,,0,2,,2,1,4,0,1,0,0,90120,9,2,0,4,5,3,309,NA,109,111,1,9,0
dk,0,,,1,11-1347,2012,2/19/2013,"JEFFREY LEE CHAFIN, PETITIONER v. LYNNE HALES CHAFIN",12/5/2012,,2012-012,2012-012-01,2012-012-01-01,2012-012-01-01-01,2/19/2013,1,,,,2013 U.S. LEXIS 1122,2012,1704,Roberts,11-1347,"JEFFREY LEE CHAFIN, PETITIONER v. LYNNE HALES CHAFIN",12/5/2012,,129,,188,,1,,,0,42,,31,,0,12,9,1,1,5,0,1,0,0,20170,2,2,0,4,,5,509,NA,111,111,1,9,0
dk,0,,,1,11-770,2012,2/19/2013,"CHUNON L. BAILEY, AKA POLO, PETITIONER v. UNITED STATES",11/1/2012,,2012-013,2012-013-01,2012-013-01-01,2012-013-01-01-01,2/19/2013,1,,,,2013 U.S. LEXIS 1075,2012,1704,Roberts,11-770,"CHUNON L. BAILEY, AKA POLO, PETITIONER v. UNITED STATES",11/1/2012,,126,,27,,1,,,0,94,,22,,0,2,2,1,1,4,0,1,0,0,10050,1,2,0,5,4,2,205,NA,106,111,1,6,3
dk,0,,,1,11-1160,2012,2/19/2013,"FEDERAL TRADE COMMISSION, PETITIONER v. PHOEBE PUTNEY HEALTH SYSTEM, INC., et al.",11/26/2012,,2012-014,2012-014-01,2012-014-01-01,2012-014-01-01-01,2/19/2013,1,,,,2013 U.S. LEXIS 1064,2012,1704,Roberts,11-1160,"FEDERAL TRADE COMMISSION, PETITIONER v. PHOEBE PUTNEY HEALTH SYSTEM, INC., et al.",11/26/2012,,357,,167,,1,57,,0,59,,31,,0,11,,1,1,4,0,0,0,0,80010,8,2,0,4,,3,310,NA,113,111,1,9,0
dk,0,,,1,11-817,2012,2/19/2013,"FLORIDA, PETITIONER v. CLAYTON HARRIS",10/31/2012,,2012-015,2012-015-01,2012-015-01-01,2012-015-01-01-01,2/19/2013,1,,,,2013 U.S. LEXIS 1121,2012,1704,Roberts,11-817,"FLORIDA, PETITIONER v. CLAYTON HARRIS",10/31/2012,,28,12,126,,1,,,0,301,12,300,12,0,12,3,1,1,3,0,0,0,0,10050,1,2,0,2,,2,205,NA,114,111,1,9,0
dk,0,,,1,41950,2012,2/20/2013,"ARMARCION D. HENDERSON, PETITIONER v. UNITED STATES",11/28/2012,,2012-016,2012-016-01,2012-016-01-01,2012-016-01-01-01,2/20/2013,1,,,,2013 U.S. LEXIS 1611,2012,1704,Roberts,7-Nov,"ARMARCION D. HENDERSON, PETITIONER v. UNITED STATES",11/28/2012,,137,,27,,1,,,0,,,25,,0,12,,1,1,4,0,1,0,0,10370,1,2,0,4,,4,401,NA,110,111,1,6,3
dk,0,,,1,11-465,2012,2/20/2013,"DEBORAH K. JOHNSON, ACTING WARDEN, PETITIONER v. TARA SHENEVA WILLIAMS",10/3/2012,,2012-017,2012-017-01,2012-017-01-01,2012-017-01-01-01,2/20/2013,1,,,,2013 U.S. LEXIS 1610,2012,1704,Roberts,11-465,"DEBORAH K. JOHNSON, ACTING WARDEN, PETITIONER v. TARA SHENEVA WILLIAMS",10/3/2012,,19,38,229,,1,,,0,100,,29,,0,5,5,1,1,4,0,1,0,0,10580,1,1,0,2,,2,214,NA,112,111,1,9,0
dk,0,,,1,11-1327,2012,2/20/2013,"LAMAR EVANS, PETITIONER v. MICHIGAN",11/6/2012,,2012-018,2012-018-01,2012-018-01-01,2012-018-01-01-01,2/20/2013,1,,,,2013 U.S. LEXIS 1614,2012,1704,Roberts,11-1327,"LAMAR EVANS, PETITIONER v. MICHIGAN",11/6/2012,,100,,20,27,1,,,0,302,30,300,27,1,5,2,1,1,3,0,1,0,0,10170,1,2,0,2,,2,206,NA,113,111,1,8,1
dk,0,,,1,11-820,2012,2/20/2013,"ROSELVA CHAIDEZ, PETITIONER v. UNITED STATES",11/1/2012,,2012-019,2012-019-01,2012-019-01-01,2012-019-01-01-01,2/20/2013,1,,,,2013 U.S. LEXIS 1613,2012,1704,Roberts,11-820,"ROSELVA CHAIDEZ, PETITIONER v. UNITED STATES",11/1/2012,,106,,27,,1,68,,0,66,,27,,0,2,2,1,1,2,0,0,0,0,10040,1,1,0,1,7,2,214,NA,114,111,1,7,2
dk,1,This is a patent case and we should thus talk in out - even though it is a malpractice action with a bunch of jurisdictional issues,,1,11-1118,2012,2/20/2013,"JERRY W. GUNN, et al., PETITIONERS v. VERNON F. MINTON",1/16/2013,,2012-029,2012-029-01,2012-029-01-01,2012-029-01-01-01,2/20/2013,1,,,,2013 U.S. LEXIS 1612,2012,1704,Roberts,11-1118,"JERRY W. GUNN, et al., PETITIONERS v. VERNON F. MINTON",1/16/2013,,111,,172,,1,,,0,302,51,300,51,1,12,2,2,1,4,0,1,0,0,100030,10,1,0,4,,6,600,35-102,111,111,1,9,0
dk,1,This could impact all companies working in the debt collection space,,1,11-1175,2012,2/26/2013,"OLIVEA MARX, PETITIONER v. GENERAL REVENUE CORPORATION",11/7/2012,,2012-020,2012-020-01,2012-020-01-01,2012-020-01-01-01,2/26/2013,1,,,,2013 U.S. LEXIS 1859,2012,1704,Roberts,11-1175,"OLIVEA MARX, PETITIONER v. GENERAL REVENUE CORPORATION",11/7/2012,,134,,12,,1,,,0,52,,30,,1,2,2,1,1,2,0,0,0,0,80170,8,1,0,4,5,6,600,15-1692,108,111,1,7,2
dk,0,,,1,11-1025,2012,2/26/2013,"JAMES R. CLAPPER, JR., DIRECTOR OF NATIONAL INTELLIGENCE, et al., PETITIONERS v. AMNESTY INTERNATIONAL USA et al.",10/29/2012,,2012-021,2012-021-01,2012-021-01-01,2012-021-01-01-01,2/26/2013,1,,,,2013 U.S. LEXIS 1858,2012,1704,Roberts,11-1025,"JAMES R. CLAPPER, JR., DIRECTOR OF NATIONAL INTELLIGENCE, et al., PETITIONERS v. AMNESTY INTERNATIONAL USA et al.",10/29/2012,,327,,207,,1,,,0,96,,22,,1,2,3,2,1,4,0,1,0,0,90220,9,1,0,,,6,600,50 USC 1881a,112,111,1,5,4
dk,1,Perhaps this could reach other investment advisors (probably not),,1,11-1274,2012,2/27/2013,"MARC J. GABELLI AND BRUCE ALPERT, PETITIONERS v. SECURITIES AND EXCHANGE COMMISSION",1/8/2013,,2012-022,2012-022-01,2012-022-01-01,2012-022-01-01-01,2/27/2013,1,,,,2013 U.S. LEXIS 1861,2012,1704,Roberts,11-1274,"MARC J. GABELLI AND BRUCE ALPERT, PETITIONERS v. SECURITIES AND EXCHANGE COMMISSION",1/8/2013,,119,,405,,1,105,,0,96,,22,,0,12,3,1,1,4,0,0,0,0,80120,8,2,0,4,,6,600,15-80b,111,111,1,9,0
dk,1,We need to look at this because it involves a listed company,AMGN (nasdaq),1,11-1085,2012,2/27/2013,"AMGEN INC., et al., PETITIONERS v. CONNECTICUT RETIREMENT PLANS AND TRUST FUNDS",11/5/2012,,2012-023,2012-023-01,2012-023-01-01,2012-023-01-01-01,2/27/2013,1,,,,2013 U.S. LEXIS 1862,2012,1704,Roberts,11-1085,"AMGEN INC., et al., PETITIONERS v. CONNECTICUT RETIREMENT PLANS AND TRUST FUNDS",11/5/2012,,194,,171,,1,,,0,51,,29,,0,2,,2,1,2,0,0,0,0,80120,8,2,0,4,5,3,365,NA,109,111,1,6,3
dk,0,,,1,11-1351,2012,3/4/2013,"STEVEN ALAN LEVIN, PETITIONER v. UNITED STATES et al.",1/15/2013,,2012-024,2012-024-01,2012-024-01-01,2012-024-01-01-01,3/4/2013,1,,133 S. Ct. 1224,,2013 U.S. LEXIS 1864,2012,1704,Roberts,11-1351,"STEVEN ALAN LEVIN, PETITIONER v. UNITED STATES et al.",1/15/2013,,204,,27,,1,,,0,62,,29,,0,2,2,1,1,4,0,1,0,0,80060,8,2,0,4,,3,374,NA,109,111,1,9,0
dk,1,,JW.A (NYSE),1,11-697,2012,3/19/2013,"SUPAP KIRTSAENG, DBA BLUECHRISTINE99, PETITIONER v. JOHN WILEY & SONS, INC.",10/29/2012,,2012-025,2012-025-01,2012-025-01-01,2012-025-01-01-01,3/19/2013,1,,,,2013 U.S. LEXIS 2371,2012,1704,Roberts,11-697,"SUPAP KIRTSAENG, DBA BLUECHRISTINE99, PETITIONER v. JOHN WILEY & SONS, INC.",10/29/2012,,117,,220,,1,,,0,96,,22,,1,2,2,1,1,4,0,1,0,0,80190,8,2,0,4,,6,600,17-106,110,111,1,6,3
dk,1,Could impact all Insurance Providers?,Is a subsidiary of Travelers,1,11-1450,2012,3/19/2013,"THE STANDARD FIRE INSURANCE COMPANY, PETITIONER v. GREG KNOWLES",1/7/2013,,2012-026,2012-026-01,2012-026-01-01,2012-026-01-01-01,3/19/2013,1,,,,2013 U.S. LEXIS 2370,2012,1704,Roberts,11-1450,"THE STANDARD FIRE INSURANCE COMPANY, PETITIONER v. GREG KNOWLES",1/7/2013,,171,,173,,1,,,0,47,,28,,0,3,9,1,1,5,0,1,0,0,90320,9,2,0,4,,6,600,28-1332,110,111,1,9,0
dk,1,,Georgia-Pacific West,1,11-338,2012,3/20/2013,"DOUG DECKER, IN HIS OFFICIAL CAPACITY AS OREGON STATE FORESTER, et al., PETITIONERS v. NORTHWEST ENVIRONMENTAL DEFENSE CENTER;",12/3/2012,,2012-027,2012-027-01,2012-027-01-01,2012-027-01-01-01,3/20/2013,1,,,,2013 U.S. LEXIS 2373,2012,1704,Roberts,11-338,"DOUG DECKER, IN HIS OFFICIAL CAPACITY AS OREGON STATE FORESTER, et al., PETITIONERS v. NORTHWEST ENVIRONMENTAL DEFENSE CENTER;",12/3/2012,,8,43,150,,1,33,,0,108,,29,,0,12,3,1,1,4,0,1,0,0,80130,8,2,0,4,5,3,338,NA,106,111,1,7,1
dk,0,,,1,36130,2012,3/20/2013,"ALDONA WOS, SECRETARY, NORTH CAROLINA DEPARTMENT OF HEALTH AND HUMAN SERVICES, PETITIONER v. E. M. A., A MINOR, BY AND THROUGH HER GUARDIAN AD LITEM, DANIEL H. JOHNSON, et al.",1/8/2013,,2012-028,2012-028-01,2012-028-01-01,2012-028-01-01-01,3/20/2013,1,,,,2013 U.S. LEXIS 2372,2012,1704,Roberts,Dec-98,"ALDONA WOS, SECRETARY, NORTH CAROLINA DEPARTMENT OF HEALTH AND HUMAN SERVICES, PETITIONER v. E. M. A., A MINOR, BY AND THROUGH HER GUARDIAN AD LITEM, DANIEL H. JOHNSON, et al.",1/8/2013,,19,38,229,,1,,,0,100,,24,,0,5,5,1,1,2,0,0,0,0,100030,10,2,0,4,,3,308,NA,106,106,1,6,3
dk,0,,,1,11-564,2012,3/26/2013,"FLORIDA, PETITIONER v. JOELIS JARDINES",10/31/2012,,2012-030,2012-030-01,2012-030-01-01,2012-030-01-01-01,3/26/2013,1,,,,2013 U.S. LEXIS 2542,2012,1704,Roberts,11-564,"FLORIDA, PETITIONER v. JOELIS JARDINES",10/31/2012,,28,12,137,,1,,,0,302,12,300,12,0,11,2,2,1,2,0,0,0,0,10050,1,2,0,2,,2,205,NA,105,105,1,5,4
dk,1,,Comcast ,1,11-864,2012,3/27/2013,"COMCAST CORPORATION, et al., PETITIONERS v. CAROLINE BEHREND et al.",11/5/2012,,2012-031,2012-031-01,2012-031-01-01,2012-031-01-01-01,3/27/2013,1,,,,2013 U.S. LEXIS 2544,2012,1704,Roberts,11-864,"COMCAST CORPORATION, et al., PETITIONERS v. CAROLINE BEHREND et al.",11/5/2012,,124,,134,,1,,,0,109,,23,,1,11,2,2,1,3,0,1,0,0,90240,9,1,0,4,,4,400,NA,105,111,1,5,4
dk,0,,,1,11-10362,2012,3/27/2013,"KIM MILLBROOK, PETITIONER v. UNITED STATES",2/19/2013,,2012-032,2012-032-01,2012-032-01-01,2012-032-01-01-01,3/27/2013,1,,,,2013 U.S. LEXIS 2543,2012,1704,Roberts,11-10362,"KIM MILLBROOK, PETITIONER v. UNITED STATES",2/19/2013,,215,,27,,1,,,0,110,,23,,0,2,2,1,1,4,0,1,0,0,80060,8,2,0,4,,3,374,NA,108,111,1,9,0
dk,0,,,2,12-382,2012,4/1/2013,"JOHN MARSHALL, WARDEN v. OTIS LEE RODGERS",,,2012-033,2012-033-01,2012-033-01-01,2012-033-01-01-01,4/1/2013,2,,,,2013 U.S. LEXIS 2546,2012,1704,Roberts,12-382,"JOHN MARSHALL, WARDEN v. OTIS LEE RODGERS",,,19,6,126,,1,,,0,48,,29,,0,12,4,2,1,4,0,1,0,0,20320,2,1,0,2,,2,214,NA,,111,1,9,0
dk,0,,Privately Held Company,1,11-1059,2012,4/16/2013,"GENESIS HEALTHCARE CORPORATION, et al., PETITIONERS v. LAURA SYMCZYK",12/3/2012,,2012-034,2012-034-01,2012-034-01-01,2012-034-01-01-01,4/16/2013,1,,,,2013 U.S. LEXIS 3157,2012,1704,Roberts,11-1059,"GENESIS HEALTHCARE CORPORATION, et al., PETITIONERS v. LAURA SYMCZYK",12/3/2012,,151,,154,,1,,,0,109,,23,,0,2,4,2,1,3,0,0,0,0,70040,7,1,0,4,,3,334,NA,108,111,1,5,4
dk,0,,ERISA Case - almost certainly has economic impact but too diffuse for Law on the MKT,1,11-1285,2012,4/16/2013,"US AIRWAYS, INC., IN ITS CAPACITY AS FIDUCIARY AND PLAN ADMINISTRATOR OF THE US AIRWAYS, INC. EMPLOYEE BENEFITS PLAN, PETITIONER v. JAMES E. MCCUTCHEN et al.",11/27/2012,,2012-035,2012-035-01,2012-035-01-01,2012-035-01-01-01,4/16/2013,1,,,,2013 U.S. LEXIS 1285,2012,1704,Roberts,11-1285,"US AIRWAYS, INC., IN ITS CAPACITY AS FIDUCIARY AND PLAN ADMINISTRATOR OF THE US AIRWAYS, INC. EMPLOYEE BENEFITS PLAN, PETITIONER v. JAMES E. MCCUTCHEN et al.",11/27/2012,,104,,145,,1,,,0,111,,23,,0,2,5,2,1,5,0,0,0,0,80090,8,1,0,4,,3,323,NA,114,106,1,5,4
dk,1,,RDS.A (NYSE),1,10-1491,2012,4/17/2013,"ESTHER KIOBEL, INDIVIDUALLY AND ON BEHALF OF HER LATE HUSBAND, DR. BARINEM KIOBEL, et al., PETITIONERS v. ROYAL DUTCH PETROLEUM CO. et al.",2/28/2012,,2012-036,2012-036-01,2012-036-01-01,2012-036-01-01-01,4/17/2013,1,,,,2013 U.S. LEXIS 3159,2012,1704,Roberts,10-1491,"ESTHER KIOBEL, INDIVIDUALLY AND ON BEHALF OF HER LATE HUSBAND, DR. BARINEM KIOBEL, et al., PETITIONERS v. ROYAL DUTCH PETROLEUM CO. et al.",2/28/2012,10/1/2012,106,,198,,1,,,0,96,,22,,0,11,9,1,1,2,0,0,0,0,90230,9,1,0,4,,6,600,28-1350,111,111,1,9,0
dk,0,,,1,11-1425,2012,4/17/2013,"MISSOURI, PETITIONER v. G. MCNEELY",1/9/2013,,2012-037,2012-037-01,2012-037-01-01,2012-037-01-01-01,4/17/2013,1,,,,2013 U.S. LEXIS 3160,2012,1704,Roberts,11-1425,"MISSOURI, PETITIONER v. G. MCNEELY",1/9/2013,,28,30,137,,1,,,0,302,30,300,30,0,2,2,2,1,2,0,0,0,0,10050,1,2,0,2,7,2,205,NA,113,105,1,5,4
dk,0,,,1,11-702,2012,4/23/2013,"ADRIAN MONCRIEFFE, PETITIONER v. ERIC H. HOLDER, JR., ATTORNEY GENERAL",10/10/2012,,2012-038,2012-038-01,2012-038-01-01,2012-038-01-01-01,4/23/2013,1,,,,2013 U.S. LEXIS 3313,2012,1704,Roberts,11-702,"ADRIAN MONCRIEFFE, PETITIONER v. ERIC H. HOLDER, JR., ATTORNEY GENERAL",10/10/2012,,106,,327,,1,27,,0,302,13,25,,1,2,9,1,1,4,0,1,0,0,20110,2,2,0,4,,3,344,NA,113,111,1,7,2
dk,0,,,1,41990,2012,4/29/2013,"MARK J. MCBURNEY, et al., PETITIONERS v. NATHANIEL L. YOUNG, DEPUTY COMMISSIONER AND DIRECTOR, VIRGINIA DIVISION OF CHILD SUPPORT ENFORCEMENT, et al.",2/20/2013,,2012-039,2012-039-01,2012-039-01-01,2012-039-01-01-01,4/29/2013,1,,,,2013 U.S. LEXIS 3317,2012,1704,Roberts,17-Dec,"MARK J. MCBURNEY, et al., PETITIONERS v. NATHANIEL L. YOUNG, DEPUTY COMMISSIONER AND DIRECTOR, VIRGINIA DIVISION OF CHILD SUPPORT ENFORCEMENT, et al.",2/20/2013,,214,,7,55,1,,,0,126,,24,,1,2,2,1,1,2,0,0,0,0,50040,5,1,0,4,,3,335,NA,112,111,1,9,0
dk,0,,,6,19664,2012,4/29/2013,"JONATHAN EDWARD BOYER, PETITIONER v. LOUISIANA",1/14/2013,,2012-040,2012-040-01,2012-040-01-01,2012-040-01-01-01,4/29/2013,6,,,,2013 U.S. LEXIS 3518,2012,1704,Roberts,Nov-53,"JONATHAN EDWARD BOYER, PETITIONER v. LOUISIANA",1/14/2013,,213,,28,22,1,,,0,302,22,301,22,0,11,9,1,1,9,0,0,0,0,90150,9,1,0,3,,2,216,NA,,111,1,5,4
dk,0,,,1,19329,2012,5/13/2013,"DANÕS CITY USED CARS, INC., DBA DANÕS CITY AUTO BODY, PETITIONER v. ROBERT PELKEY",3/20/2013,,2012-041,2012-041-01,2012-041-01-01,2012-041-01-01-01,5/13/2013,1,,,,2013 U.S. LEXIS 3520,2012,1704,Roberts,Dec-52,"DANÕS CITY USED CARS, INC., DBA DANÕS CITY AUTO BODY, PETITIONER v. ROBERT PELKEY",3/20/2013,,125,,195,,1,,,0,302,34,300,34,0,6,3,2,1,2,0,0,0,0,100020,10,2,0,4,,6,600,49-1450 (c) (1),109,111,1,9,0
dk,0,,,1,11-1518,2012,5/13/2013,"RANDY CURTIS BULLOCK, PETITIONER v. BANKCHAMPAIGN, N. A.",3/18/2013,,2012-042,2012-042-01,2012-042-01-01,2012-042-01-01-01,5/13/2013,1,,,,2013 U.S. LEXIS 3521,2012,1704,Roberts,11-1518,"RANDY CURTIS BULLOCK, PETITIONER v. BANKCHAMPAIGN, N. A.",3/18/2013,,138,,135,,1,,,0,42,,31,,0,12,2,1,1,5,0,1,0,0,80030,8,2,0,4,,3,307,NA,110,111,1,9,0
dk,1,,MON (NYSE) and there are perhaps others who are like Monstanto ? ,1,11-796,2012,5/13/2013,"VERNON HUGH BOWMAN, PETITIONER v. MONSANTO COMPANY et al.",2/19/2013,,2012-043,2012-043-01,2012-043-01-01,2012-043-01-01-01,5/13/2013,1,,,,2013 U.S. LEXIS 3519,2012,1704,Roberts,11-796,"VERNON HUGH BOWMAN, PETITIONER v. MONSANTO COMPANY et al.",2/19/2013,,152,,128,,1,,,0,69,,8,,0,10,1,2,1,2,0,0,0,0,80180,8,1,0,4,,6,600,35-154,114,111,1,9,0
dk,0,,,1,11-1545,2012,5/20/2013,"CITY OF ARLINGTON, TEXAS, et al., PETITIONERS v. FEDERAL COMMUNICATIONS COMMISSION et al.; CABLE, TELECOMMUNICATIONS, AND TECHNOLOGY COMMITTEE OF THE NEW ORLEANS CITY COUNCIL, PETITIONER v. FEDERAL COMMUNICATIONS COMMISSION et al.",1/16/2013,,2012-044,2012-044-01,2012-044-01-01,2012-044-01-01-01,5/20/2013,1,,,,2013 U.S. LEXIS 3838,2012,1704,Roberts,11-1545,"CITY OF ARLINGTON, TEXAS, et al., PETITIONERS v. FEDERAL COMMUNICATIONS COMMISSION et al.; CABLE, TELECOMMUNICATIONS, AND TECHNOLOGY COMMITTEE OF THE NEW ORLEANS CITY COUNCIL, PETITIONER v. FEDERAL COMMUNICATIONS COMMISSION et al.",1/16/2013,,3,51,338,,1,,,0,25,,25,,0,11,2,1,1,2,0,1,0,0,90120,9,1,0,5,4,3,326,NA,105,105,1,6,3
