case,caseDisposition,caseName,dateArgument,dateDecision,docket,issue,issueArea,lawType,lowerCourtDisagreement,petitioner,respondent,sctCite,shortName,term,testPart,ticker,voteMargin
4,4.0,"WAL-MART STORES, INC. v. SAMARA BROTHERS, INC.",1/19/2000,3/22/2000,99-150,80200.0,8.0,6.0,0.0,238.0,184.0,120 S.Ct. 1339,Wal-Mart v. Samara Bros.,1999,XLY,WMT,9
4,4.0,"WAL-MART STORES, INC. v. SAMARA BROTHERS, INC.",1/19/2000,3/22/2000,99-150,80200.0,8.0,6.0,0.0,238.0,184.0,120 S.Ct. 1339,Wal-Mart v. Samara Bros.,1999,,WMT,9
4,4.0,"WAL-MART STORES, INC. v. SAMARA BROTHERS, INC.",1/19/2000,3/22/2000,99-150,80200.0,8.0,6.0,0.0,238.0,184.0,120 S.Ct. 1339,Wal-Mart v. Samara Bros.,1999,,XLY,9
5,2.0,"ROBIN FREE, et al. v. ABBOTT LABORATORIES, INC., et al.",3/27/2000,4/3/2000,99-391,,,,0.0,501.0,143.0,120 S.Ct. 1578,Robin Free v. Abbott Labs,1999,,ABT,0
5,2.0,"ROBIN FREE, et al. v. ABBOTT LABORATORIES, INC., et al.",3/27/2000,4/3/2000,99-391,,,,0.0,501.0,143.0,120 S.Ct. 1578,Robin Free v. Abbott Labs,1999,,BMY,0
5,2.0,"ROBIN FREE, et al. v. ABBOTT LABORATORIES, INC., et al.",3/27/2000,4/3/2000,99-391,,,,0.0,501.0,143.0,120 S.Ct. 1578,Robin Free v. Abbott Labs,1999,,JNJ,0
5,2.0,"ROBIN FREE, et al. v. ABBOTT LABORATORIES, INC., et al.",3/27/2000,4/3/2000,99-391,,,,0.0,501.0,143.0,120 S.Ct. 1578,Robin Free v. Abbott Labs,1999,,XLV,0
5,2.0,"ROBIN FREE, et al. v. ABBOTT LABORATORIES, INC., et al.",3/27/2000,4/3/2000,99-391,,,,0.0,501.0,143.0,120 S.Ct. 1578,Robin Free v. Abbott Labs,1999,XLV,ABT,0
5,2.0,"ROBIN FREE, et al. v. ABBOTT LABORATORIES, INC., et al.",3/27/2000,4/3/2000,99-391,,,,0.0,501.0,143.0,120 S.Ct. 1578,Robin Free v. Abbott Labs,1999,XLV,BMY,0
5,2.0,"ROBIN FREE, et al. v. ABBOTT LABORATORIES, INC., et al.",3/27/2000,4/3/2000,99-391,,,,0.0,501.0,143.0,120 S.Ct. 1578,Robin Free v. Abbott Labs,1999,XLV,JNJ,0
6,4.0,"NORFOLK SOUTHERN RAILWAY COMPANY v. DEDRA SHANKLIN, INDIVIDUALLY, AND AS NEXT FRIEND OF JESSIE GUY SHANKLIN",3/1/2000,4/17/2000,99-312,100020.0,10.0,6.0,0.0,231.0,208.0,120 S.Ct. 1467,Norfolk Southern v. Shanklin,1999,XLI,CSX,5
6,4.0,"NORFOLK SOUTHERN RAILWAY COMPANY v. DEDRA SHANKLIN, INDIVIDUALLY, AND AS NEXT FRIEND OF JESSIE GUY SHANKLIN",3/1/2000,4/17/2000,99-312,100020.0,10.0,6.0,0.0,231.0,208.0,120 S.Ct. 1467,Norfolk Southern v. Shanklin,1999,XLI,KSU,5
6,4.0,"NORFOLK SOUTHERN RAILWAY COMPANY v. DEDRA SHANKLIN, INDIVIDUALLY, AND AS NEXT FRIEND OF JESSIE GUY SHANKLIN",3/1/2000,4/17/2000,99-312,100020.0,10.0,6.0,0.0,231.0,208.0,120 S.Ct. 1467,Norfolk Southern v. Shanklin,1999,XLI,NSC,5
6,4.0,"NORFOLK SOUTHERN RAILWAY COMPANY v. DEDRA SHANKLIN, INDIVIDUALLY, AND AS NEXT FRIEND OF JESSIE GUY SHANKLIN",3/1/2000,4/17/2000,99-312,100020.0,10.0,6.0,0.0,231.0,208.0,120 S.Ct. 1467,Norfolk Southern v. Shanklin,1999,XLI,UNP,5
6,4.0,"NORFOLK SOUTHERN RAILWAY COMPANY v. DEDRA SHANKLIN, INDIVIDUALLY, AND AS NEXT FRIEND OF JESSIE GUY SHANKLIN",3/1/2000,4/17/2000,99-312,100020.0,10.0,6.0,0.0,231.0,208.0,120 S.Ct. 1467,Norfolk Southern v. Shanklin,1999,,CSX,5
6,4.0,"NORFOLK SOUTHERN RAILWAY COMPANY v. DEDRA SHANKLIN, INDIVIDUALLY, AND AS NEXT FRIEND OF JESSIE GUY SHANKLIN",3/1/2000,4/17/2000,99-312,100020.0,10.0,6.0,0.0,231.0,208.0,120 S.Ct. 1467,Norfolk Southern v. Shanklin,1999,,KSU,5
6,4.0,"NORFOLK SOUTHERN RAILWAY COMPANY v. DEDRA SHANKLIN, INDIVIDUALLY, AND AS NEXT FRIEND OF JESSIE GUY SHANKLIN",3/1/2000,4/17/2000,99-312,100020.0,10.0,6.0,0.0,231.0,208.0,120 S.Ct. 1467,Norfolk Southern v. Shanklin,1999,,NSC,5
6,4.0,"NORFOLK SOUTHERN RAILWAY COMPANY v. DEDRA SHANKLIN, INDIVIDUALLY, AND AS NEXT FRIEND OF JESSIE GUY SHANKLIN",3/1/2000,4/17/2000,99-312,100020.0,10.0,6.0,0.0,231.0,208.0,120 S.Ct. 1467,Norfolk Southern v. Shanklin,1999,,UNP,5
6,4.0,"NORFOLK SOUTHERN RAILWAY COMPANY v. DEDRA SHANKLIN, INDIVIDUALLY, AND AS NEXT FRIEND OF JESSIE GUY SHANKLIN",3/1/2000,4/17/2000,99-312,100020.0,10.0,6.0,0.0,231.0,208.0,120 S.Ct. 1467,Norfolk Southern v. Shanklin,1999,,XLI,5
7,2.0,"UNITED STATES, et al. v. PLAYBOY ENTERTAINMENT GROUP, INC.",11/30/1999,5/22/2000,98-1682,30010.0,3.0,6.0,0.0,27.0,124.0,120 S.Ct. 1878,U.S. v. Playboy,1999,,PLA,1
7,2.0,"UNITED STATES, et al. v. PLAYBOY ENTERTAINMENT GROUP, INC.",11/30/1999,5/22/2000,98-1682,30010.0,3.0,6.0,0.0,27.0,124.0,120 S.Ct. 1878,U.S. v. Playboy,1999,,PLAA,1
7,2.0,"UNITED STATES, et al. v. PLAYBOY ENTERTAINMENT GROUP, INC.",11/30/1999,5/22/2000,98-1682,30010.0,3.0,6.0,0.0,27.0,124.0,120 S.Ct. 1878,U.S. v. Playboy,1999,,XLY,1
7,2.0,"UNITED STATES, et al. v. PLAYBOY ENTERTAINMENT GROUP, INC.",11/30/1999,5/22/2000,98-1682,30010.0,3.0,6.0,0.0,27.0,124.0,120 S.Ct. 1878,U.S. v. Playboy,1999,XLY,PLA,1
7,2.0,"UNITED STATES, et al. v. PLAYBOY ENTERTAINMENT GROUP, INC.",11/30/1999,5/22/2000,98-1682,30010.0,3.0,6.0,0.0,27.0,124.0,120 S.Ct. 1878,U.S. v. Playboy,1999,XLY,PLAA,1
8,2.0,"ALEXIS GEIER, et al. v. AMERICAN HONDA MOTOR COMPANY, INC., et al.",12/7/1999,5/22/2000,98-1811,100030.0,10.0,6.0,0.0,208.0,189.0,120 S.Ct. 1913,Alexis Geier v. Honda,1999,,GM,1
8,2.0,"ALEXIS GEIER, et al. v. AMERICAN HONDA MOTOR COMPANY, INC., et al.",12/7/1999,5/22/2000,98-1811,100030.0,10.0,6.0,0.0,208.0,189.0,120 S.Ct. 1913,Alexis Geier v. Honda,1999,,HMC,1
8,2.0,"ALEXIS GEIER, et al. v. AMERICAN HONDA MOTOR COMPANY, INC., et al.",12/7/1999,5/22/2000,98-1811,100030.0,10.0,6.0,0.0,208.0,189.0,120 S.Ct. 1913,Alexis Geier v. Honda,1999,,TM,1
8,2.0,"ALEXIS GEIER, et al. v. AMERICAN HONDA MOTOR COMPANY, INC., et al.",12/7/1999,5/22/2000,98-1811,100030.0,10.0,6.0,0.0,208.0,189.0,120 S.Ct. 1913,Alexis Geier v. Honda,1999,,XLY,1
8,2.0,"ALEXIS GEIER, et al. v. AMERICAN HONDA MOTOR COMPANY, INC., et al.",12/7/1999,5/22/2000,98-1811,100030.0,10.0,6.0,0.0,208.0,189.0,120 S.Ct. 1913,Alexis Geier v. Honda,1999,XLY,GM,1
8,2.0,"ALEXIS GEIER, et al. v. AMERICAN HONDA MOTOR COMPANY, INC., et al.",12/7/1999,5/22/2000,98-1811,100030.0,10.0,6.0,0.0,208.0,189.0,120 S.Ct. 1913,Alexis Geier v. Honda,1999,XLY,HMC,1
8,2.0,"ALEXIS GEIER, et al. v. AMERICAN HONDA MOTOR COMPANY, INC., et al.",12/7/1999,5/22/2000,98-1811,100030.0,10.0,6.0,0.0,208.0,189.0,120 S.Ct. 1913,Alexis Geier v. Honda,1999,XLY,TM,1
9,4.0,"HARRIS TRUST AND SAVINGS BANK, ETC., et al. v. SALOMON SMITH BARNEY INC., et al.",4/17/2000,6/12/2000,99-579,80090.0,8.0,3.0,0.0,146.0,119.0,120 S.Ct. 2180,Harris Trust v. Salomon Smith Barney,1999,,ASB,9
9,4.0,"HARRIS TRUST AND SAVINGS BANK, ETC., et al. v. SALOMON SMITH BARNEY INC., et al.",4/17/2000,6/12/2000,99-579,80090.0,8.0,3.0,0.0,146.0,119.0,120 S.Ct. 2180,Harris Trust v. Salomon Smith Barney,1999,,XLF,9
9,4.0,"HARRIS TRUST AND SAVINGS BANK, ETC., et al. v. SALOMON SMITH BARNEY INC., et al.",4/17/2000,6/12/2000,99-579,80090.0,8.0,3.0,0.0,146.0,119.0,120 S.Ct. 2180,Harris Trust v. Salomon Smith Barney,1999,XLF,ASB,9
10,4.0,"MOBIL OIL EXPLORATION AND PRODUCING SOUTHEAST, INC. v. UNITED STATES",3/22/2000,6/26/2000,99-244,80290.0,8.0,,1.0,198.0,27.0,120 S.Ct. 2423,Exxon Mobil v. U.S.,1999,XLE,MRO,6
10,4.0,"MOBIL OIL EXPLORATION AND PRODUCING SOUTHEAST, INC. v. UNITED STATES",3/22/2000,6/26/2000,99-244,80290.0,8.0,,1.0,198.0,27.0,120 S.Ct. 2423,Exxon Mobil v. U.S.,1999,XLE,XOM,6
10,4.0,"MOBIL OIL EXPLORATION AND PRODUCING SOUTHEAST, INC. v. UNITED STATES",3/22/2000,6/26/2000,99-244,80290.0,8.0,,1.0,198.0,27.0,120 S.Ct. 2423,Exxon Mobil v. U.S.,1999,,MRO,6
10,4.0,"MOBIL OIL EXPLORATION AND PRODUCING SOUTHEAST, INC. v. UNITED STATES",3/22/2000,6/26/2000,99-244,80290.0,8.0,,1.0,198.0,27.0,120 S.Ct. 2423,Exxon Mobil v. U.S.,1999,,XOM,6
10,4.0,"MOBIL OIL EXPLORATION AND PRODUCING SOUTHEAST, INC. v. UNITED STATES",3/22/2000,6/26/2000,99-244,80290.0,8.0,,1.0,198.0,27.0,120 S.Ct. 2423,Exxon Mobil v. U.S.,1999,,XLE,6
11,2.0,"EASTERN ASSOCIATED COAL CORPORATION v. UNITED MINE WORKERS OF AMERICA, DISTRICT 17, et al.",10/2/2000,11/28/2000,99-1038,70080.0,7.0,6.0,0.0,151.0,249.0,121 S.Ct. 462,E. Associated Coal v. United Mine Workers of Am.,2000,,XLF,9
12,5.0,"GEORGE W. BUSH v. PALM BEACH COUNTY CANVASSING BOARD, et al.",12/1/2000,12/4/2000,00-836,90190.0,9.0,,0.0,211.0,18.0,121 S.Ct. 471,Bush v. Palm Beach Cnty. Canvassing Bd.,2000,,BP,9
12,5.0,"GEORGE W. BUSH v. PALM BEACH COUNTY CANVASSING BOARD, et al.",12/1/2000,12/4/2000,00-836,90190.0,9.0,,0.0,211.0,18.0,121 S.Ct. 471,Bush v. Palm Beach Cnty. Canvassing Bd.,2000,,CVX,9
12,5.0,"GEORGE W. BUSH v. PALM BEACH COUNTY CANVASSING BOARD, et al.",12/1/2000,12/4/2000,00-836,90190.0,9.0,,0.0,211.0,18.0,121 S.Ct. 471,Bush v. Palm Beach Cnty. Canvassing Bd.,2000,,XOM,9
12,5.0,"GEORGE W. BUSH v. PALM BEACH COUNTY CANVASSING BOARD, et al.",12/1/2000,12/4/2000,00-836,90190.0,9.0,,0.0,211.0,18.0,121 S.Ct. 471,Bush v. Palm Beach Cnty. Canvassing Bd.,2000,,XLE,9
12,5.0,"GEORGE W. BUSH v. PALM BEACH COUNTY CANVASSING BOARD, et al.",12/1/2000,12/4/2000,00-836,90190.0,9.0,,0.0,211.0,18.0,121 S.Ct. 471,Bush v. Palm Beach Cnty. Canvassing Bd.,2000,XLE,BP,9
12,5.0,"GEORGE W. BUSH v. PALM BEACH COUNTY CANVASSING BOARD, et al.",12/1/2000,12/4/2000,00-836,90190.0,9.0,,0.0,211.0,18.0,121 S.Ct. 471,Bush v. Palm Beach Cnty. Canvassing Bd.,2000,XLE,CVX,9
12,5.0,"GEORGE W. BUSH v. PALM BEACH COUNTY CANVASSING BOARD, et al.",12/1/2000,12/4/2000,00-836,90190.0,9.0,,0.0,211.0,18.0,121 S.Ct. 471,Bush v. Palm Beach Cnty. Canvassing Bd.,2000,XLE,XOM,9
13,4.0,"GEORGE W. BUSH AND RICHARD CHENEY v. ALBERT GORE, JR., et al.",12/11/2000,12/12/2000,00-949,20010.0,2.0,6.0,0.0,211.0,211.0,121 S.Ct. 525,Bush and Cheney v. Gore,2000,XLE,BP,1
13,4.0,"GEORGE W. BUSH AND RICHARD CHENEY v. ALBERT GORE, JR., et al.",12/11/2000,12/12/2000,00-949,20010.0,2.0,6.0,0.0,211.0,211.0,121 S.Ct. 525,Bush and Cheney v. Gore,2000,XLE,CVX,1
13,4.0,"GEORGE W. BUSH AND RICHARD CHENEY v. ALBERT GORE, JR., et al.",12/11/2000,12/12/2000,00-949,20010.0,2.0,6.0,0.0,211.0,211.0,121 S.Ct. 525,Bush and Cheney v. Gore,2000,XLE,XOM,1
13,4.0,"GEORGE W. BUSH AND RICHARD CHENEY v. ALBERT GORE, JR., et al.",12/11/2000,12/12/2000,00-949,20010.0,2.0,6.0,0.0,211.0,211.0,121 S.Ct. 525,Bush and Cheney v. Gore,2000,,BP,1
13,4.0,"GEORGE W. BUSH AND RICHARD CHENEY v. ALBERT GORE, JR., et al.",12/11/2000,12/12/2000,00-949,20010.0,2.0,6.0,0.0,211.0,211.0,121 S.Ct. 525,Bush and Cheney v. Gore,2000,,CVX,1
13,4.0,"GEORGE W. BUSH AND RICHARD CHENEY v. ALBERT GORE, JR., et al.",12/11/2000,12/12/2000,00-949,20010.0,2.0,6.0,0.0,211.0,211.0,121 S.Ct. 525,Bush and Cheney v. Gore,2000,,XOM,1
13,4.0,"GEORGE W. BUSH AND RICHARD CHENEY v. ALBERT GORE, JR., et al.",12/11/2000,12/12/2000,00-949,20010.0,2.0,6.0,0.0,211.0,211.0,121 S.Ct. 525,Bush and Cheney v. Gore,2000,,XLE,1
14,3.0,BUCKMAN COMPANY v. Plaintiffs' LEGAL COMMITTEE,12/4/2000,2/21/2001,98-1768,100030.0,10.0,3.0,1.0,184.0,208.0,121 S.Ct. 1012,Buckman Co. v. Plaintiffs' Legal Comm.,2000,XLV,JNJ,9
14,3.0,BUCKMAN COMPANY v. Plaintiffs' LEGAL COMMITTEE,12/4/2000,2/21/2001,98-1768,100030.0,10.0,3.0,1.0,184.0,208.0,121 S.Ct. 1012,Buckman Co. v. Plaintiffs' Legal Comm.,2000,,JNJ,9
14,3.0,BUCKMAN COMPANY v. Plaintiffs' LEGAL COMMITTEE,12/4/2000,2/21/2001,98-1768,100030.0,10.0,3.0,1.0,184.0,208.0,121 S.Ct. 1012,Buckman Co. v. Plaintiffs' Legal Comm.,2000,,XLV,9
15,7.0,"CHRISTINE TODD WHITMAN, ADMINISTRATOR OF ENVIRONMENTAL PROTECTION AGENCY, et al. v. AMERICAN TRUCKING ASSOCIATIONS, INC., et al.",11/7/2000,2/27/2001,99-1257,80130.0,8.0,3.0,1.0,333.0,245.0,121 S.Ct. 903,EPA v. AM. Trucking Ass'n,2000,XLY,F,9
15,7.0,"CHRISTINE TODD WHITMAN, ADMINISTRATOR OF ENVIRONMENTAL PROTECTION AGENCY, et al. v. AMERICAN TRUCKING ASSOCIATIONS, INC., et al.",11/7/2000,2/27/2001,99-1257,80130.0,8.0,3.0,1.0,333.0,245.0,121 S.Ct. 903,EPA v. AM. Trucking Ass'n,2000,XLY,GM,9
15,7.0,"CHRISTINE TODD WHITMAN, ADMINISTRATOR OF ENVIRONMENTAL PROTECTION AGENCY, et al. v. AMERICAN TRUCKING ASSOCIATIONS, INC., et al.",11/7/2000,2/27/2001,99-1257,80130.0,8.0,3.0,1.0,333.0,245.0,121 S.Ct. 903,EPA v. AM. Trucking Ass'n,2000,XLY,HMC,9
15,7.0,"CHRISTINE TODD WHITMAN, ADMINISTRATOR OF ENVIRONMENTAL PROTECTION AGENCY, et al. v. AMERICAN TRUCKING ASSOCIATIONS, INC., et al.",11/7/2000,2/27/2001,99-1257,80130.0,8.0,3.0,1.0,333.0,245.0,121 S.Ct. 903,EPA v. AM. Trucking Ass'n,2000,XLY,TM,9
15,7.0,"CHRISTINE TODD WHITMAN, ADMINISTRATOR OF ENVIRONMENTAL PROTECTION AGENCY, et al. v. AMERICAN TRUCKING ASSOCIATIONS, INC., et al.",11/7/2000,2/27/2001,99-1257,80130.0,8.0,3.0,1.0,333.0,245.0,121 S.Ct. 903,EPA v. AM. Trucking Ass'n,2000,,F,9
15,7.0,"CHRISTINE TODD WHITMAN, ADMINISTRATOR OF ENVIRONMENTAL PROTECTION AGENCY, et al. v. AMERICAN TRUCKING ASSOCIATIONS, INC., et al.",11/7/2000,2/27/2001,99-1257,80130.0,8.0,3.0,1.0,333.0,245.0,121 S.Ct. 903,EPA v. AM. Trucking Ass'n,2000,,GM,9
15,7.0,"CHRISTINE TODD WHITMAN, ADMINISTRATOR OF ENVIRONMENTAL PROTECTION AGENCY, et al. v. AMERICAN TRUCKING ASSOCIATIONS, INC., et al.",11/7/2000,2/27/2001,99-1257,80130.0,8.0,3.0,1.0,333.0,245.0,121 S.Ct. 903,EPA v. AM. Trucking Ass'n,2000,,HMC,9
15,7.0,"CHRISTINE TODD WHITMAN, ADMINISTRATOR OF ENVIRONMENTAL PROTECTION AGENCY, et al. v. AMERICAN TRUCKING ASSOCIATIONS, INC., et al.",11/7/2000,2/27/2001,99-1257,80130.0,8.0,3.0,1.0,333.0,245.0,121 S.Ct. 903,EPA v. AM. Trucking Ass'n,2000,,TM,9
15,7.0,"CHRISTINE TODD WHITMAN, ADMINISTRATOR OF ENVIRONMENTAL PROTECTION AGENCY, et al. v. AMERICAN TRUCKING ASSOCIATIONS, INC., et al.",11/7/2000,2/27/2001,99-1257,80130.0,8.0,3.0,1.0,333.0,245.0,121 S.Ct. 903,EPA v. AM. Trucking Ass'n,2000,,XLY,9
16,4.0,SEMTEK INTERNATIONAL INCORPORATED v. LOCKHEED MARTIN CORPORATION,12/5/2000,2/27/2001,99-1551,90460.0,9.0,4.0,0.0,122.0,104.0,121 S.Ct. 1021,Semtek v. Lockheed Martin,2000,,LMT,9
16,4.0,SEMTEK INTERNATIONAL INCORPORATED v. LOCKHEED MARTIN CORPORATION,12/5/2000,2/27/2001,99-1551,90460.0,9.0,4.0,0.0,122.0,104.0,121 S.Ct. 1021,Semtek v. Lockheed Martin,2000,,XLI,9
16,4.0,SEMTEK INTERNATIONAL INCORPORATED v. LOCKHEED MARTIN CORPORATION,12/5/2000,2/27/2001,99-1551,90460.0,9.0,4.0,0.0,122.0,104.0,121 S.Ct. 1021,Semtek v. Lockheed Martin,2000,XLI,LMT,9
17,4.0,"CIRCUIT CITY STORES, INC. v. SAINT CLAIR ADAMS",11/6/2000,3/21/2001,99-1379,70010.0,7.0,6.0,0.0,151.0,145.0,121 S.Ct. 1302,Circuit City v. Saint Clair Adams,2000,XLY,CC,1
17,4.0,"CIRCUIT CITY STORES, INC. v. SAINT CLAIR ADAMS",11/6/2000,3/21/2001,99-1379,70010.0,7.0,6.0,0.0,151.0,145.0,121 S.Ct. 1302,Circuit City v. Saint Clair Adams,2000,,CC,1
17,4.0,"CIRCUIT CITY STORES, INC. v. SAINT CLAIR ADAMS",11/6/2000,3/21/2001,99-1379,70010.0,7.0,6.0,0.0,151.0,145.0,121 S.Ct. 1302,Circuit City v. Saint Clair Adams,2000,,XLY,1
18,5.0,"COOPER INDUSTRIES, INC. v. LEATHERMAN TOOL GROUP, INC.",2/26/2001,5/14/2001,99-2035,80080.0,8.0,2.0,0.0,184.0,184.0,121 S.Ct. 1678,Copper Industries v. Leatherman Tool Grp.,2000,,CBE,7
18,5.0,"COOPER INDUSTRIES, INC. v. LEATHERMAN TOOL GROUP, INC.",2/26/2001,5/14/2001,99-2035,80080.0,8.0,2.0,0.0,184.0,184.0,121 S.Ct. 1678,Copper Industries v. Leatherman Tool Grp.,2000,,XLI,7
18,5.0,"COOPER INDUSTRIES, INC. v. LEATHERMAN TOOL GROUP, INC.",2/26/2001,5/14/2001,99-2035,80080.0,8.0,2.0,0.0,184.0,184.0,121 S.Ct. 1678,Copper Industries v. Leatherman Tool Grp.,2000,XLI,CBE,7
19,4.0,SHARON B. POLLARD v. E. I. DU PONT DE NEMOURS & COMPANY,4/23/2001,6/4/2001,00-763,20140.0,2.0,3.0,0.0,154.0,151.0,121 S.Ct. 1946,Polland v. DuPont,2000,,DD,8
19,4.0,SHARON B. POLLARD v. E. I. DU PONT DE NEMOURS & COMPANY,4/23/2001,6/4/2001,00-763,20140.0,2.0,3.0,0.0,154.0,151.0,121 S.Ct. 1946,Polland v. DuPont,2000,,XLI,8
19,4.0,SHARON B. POLLARD v. E. I. DU PONT DE NEMOURS & COMPANY,4/23/2001,6/4/2001,00-763,20140.0,2.0,3.0,0.0,154.0,151.0,121 S.Ct. 1946,Polland v. DuPont,2000,XLI,DD,8
20,5.0,UNITED STATES v. MEAD CORPORATION,11/8/2000,6/18/2001,99-1434,90120.0,9.0,6.0,0.0,27.0,234.0,121 S.Ct. 2164,U.S. v. Mead Corp.,2000,,MEA,7
20,5.0,UNITED STATES v. MEAD CORPORATION,11/8/2000,6/18/2001,99-1434,90120.0,9.0,6.0,0.0,27.0,234.0,121 S.Ct. 2164,U.S. v. Mead Corp.,2000,,XLB,7
20,5.0,UNITED STATES v. MEAD CORPORATION,11/8/2000,6/18/2001,99-1434,90120.0,9.0,6.0,0.0,27.0,234.0,121 S.Ct. 2164,U.S. v. Mead Corp.,2000,XLB,MEA,7
21,2.0,"NEW YORK TIMES COMPANY, INC., et al. v. JONATHAN TASINI, et al.",3/28/2001,6/25/2001,00-201,80190.0,8.0,6.0,0.0,220.0,112.0,121 S.Ct. 2381,N.Y. Times v. Tasini,2000,,ENL,5
21,2.0,"NEW YORK TIMES COMPANY, INC., et al. v. JONATHAN TASINI, et al.",3/28/2001,6/25/2001,00-201,80190.0,8.0,6.0,0.0,220.0,112.0,121 S.Ct. 2381,N.Y. Times v. Tasini,2000,,XLI,5
21,2.0,"NEW YORK TIMES COMPANY, INC., et al. v. JONATHAN TASINI, et al.",3/28/2001,6/25/2001,00-201,80190.0,8.0,6.0,0.0,220.0,112.0,121 S.Ct. 2381,N.Y. Times v. Tasini,2000,XLI,ENL,5
22,2.0,"UNITED STATES AND DEPARTMENT OF AGRICULTURE v. UNITED FOODS, INC.",4/17/2001,6/25/2001,00-276,30020.0,3.0,6.0,0.0,304.0,152.0,121 S.Ct. 2334,Dept. of Agric. v. United Foods,2000,,UNFI,3
22,2.0,"UNITED STATES AND DEPARTMENT OF AGRICULTURE v. UNITED FOODS, INC.",4/17/2001,6/25/2001,00-276,30020.0,3.0,6.0,0.0,304.0,152.0,121 S.Ct. 2334,Dept. of Agric. v. United Foods,2000,,XLP,3
