"","Case","Index","Symbol","estimate","error","t.value","p.value","sig","dateDecision","sctCite","term","docket","shortName"
"83",16,"SPY","XLI","-0.011040","0.008394","-1.315224","0.188435","","2/27/2001","121 S.Ct. 1021",2000,"99-1551","Semtek v. Lockheed Martin"
"84",16,"XLI","LMT","0.000048","0.036537","0.001314","0.998952","","2/27/2001","121 S.Ct. 1021",2000,"99-1551","Semtek v. Lockheed Martin"
"85",17,"SPY","CC","-0.091445","0.038598","-2.369134","0.017830","**","3/21/2001","121 S.Ct. 1302",2000,"99-1379","Circuit City v. Saint Clair Adams"
"86",17,"SPY","XLY","-0.029046","0.015982","-1.817456","0.069147","*","3/21/2001","121 S.Ct. 1302",2000,"99-1379","Circuit City v. Saint Clair Adams"
"87",17,"XLY","CC","-0.092751","0.038898","-2.384489","0.017103","**","3/21/2001","121 S.Ct. 1302",2000,"99-1379","Circuit City v. Saint Clair Adams"
"88",18,"SPY","CBE","0.021903","0.020302","1.078850","0.280654","","5/14/2001","121 S.Ct. 1678",2000,"99-2035","Copper Industries v. Leatherman Tool Grp."
"89",18,"SPY","XLI","0.003735","0.005631","0.663264","0.507162","","5/14/2001","121 S.Ct. 1678",2000,"99-2035","Copper Industries v. Leatherman Tool Grp."
"90",18,"XLI","CBE","0.021779","0.020645","1.054914","0.291464","","5/14/2001","121 S.Ct. 1678",2000,"99-2035","Copper Industries v. Leatherman Tool Grp."
"91",19,"SPY","DD","-0.014096","0.022706","-0.620813","0.534722","","6/4/2001","121 S.Ct. 1946",2000,"00-763","Polland v. DuPont"
"92",19,"SPY","XLI","0.019470","0.009828","1.981146","0.047575","**","6/4/2001","121 S.Ct. 1946",2000,"00-763","Polland v. DuPont"
"93",19,"XLI","DD","-0.000765","0.024347","-0.031420","0.974934","","6/4/2001","121 S.Ct. 1946",2000,"00-763","Polland v. DuPont"
"94",20,"SPY","MEA","0.002267","0.025241","0.089815","0.928434","","6/18/2001","121 S.Ct. 2164",2000,"99-1434","U.S. v. Mead Corp."
"95",20,"SPY","XLB","-0.001820","0.011062","-0.164522","0.869320","","6/18/2001","121 S.Ct. 2164",2000,"99-1434","U.S. v. Mead Corp."
"96",20,"XLB","MEA","0.001604","0.026046","0.061584","0.950894","","6/18/2001","121 S.Ct. 2164",2000,"99-1434","U.S. v. Mead Corp."
"97",21,"SPY","ENL","0.000298","0.005357","0.055623","0.955642","","6/25/2001","121 S.Ct. 2381",2000,"00-201","N.Y. Times v. Tasini"
"98",21,"SPY","XLI","0.003498","0.002021","1.731154","0.083424","*","6/25/2001","121 S.Ct. 2381",2000,"00-201","N.Y. Times v. Tasini"
"99",21,"XLI","ENL","0.000470","0.005378","0.087389","0.930363","","6/25/2001","121 S.Ct. 2381",2000,"00-201","N.Y. Times v. Tasini"
"100",22,"SPY","UNFI","-0.038586","0.032888","-1.173256","0.240693","","6/25/2001","121 S.Ct. 2334",2000,"00-276","Dept. of Agric. v. United Foods"
"101",22,"SPY","XLP","-0.011914","0.007476","-1.593656","0.111013","","6/25/2001","121 S.Ct. 2334",2000,"00-276","Dept. of Agric. v. United Foods"
"102",22,"XLP","UNFI","-0.034283","0.032849","-1.043662","0.296642","","6/25/2001","121 S.Ct. 2334",2000,"00-276","Dept. of Agric. v. United Foods"
"103",23,"SPY","BTI","0.001125","0.055165","0.020393","0.983730","","6/28/2001","121 S.Ct. 2404",2000,"00-596","Lorillard Tobacco v. Reilly"
"104",23,"SPY","MO","0.025352","0.020797","1.219013","0.222839","","6/28/2001","121 S.Ct. 2404",2000,"00-596","Lorillard Tobacco v. Reilly"
"105",23,"SPY","RAI","-0.004022","0.018262","-0.220244","0.825681","","6/28/2001","121 S.Ct. 2404",2000,"00-596","Lorillard Tobacco v. Reilly"
"106",23,"SPY","UVV","0.017764","0.014406","1.233116","0.217533","","6/28/2001","121 S.Ct. 2404",2000,"00-596","Lorillard Tobacco v. Reilly"
"107",23,"SPY","VGR","0.106526","0.050762","2.098539","0.035858","**","6/28/2001","121 S.Ct. 2404",2000,"00-596","Lorillard Tobacco v. Reilly"
"108",23,"SPY","XLP","-0.001497","0.007970","-0.187830","0.851010","","6/28/2001","121 S.Ct. 2404",2000,"00-596","Lorillard Tobacco v. Reilly"
"109",23,"XLP","BTI","0.001035","0.055179","0.018757","0.985035","","6/28/2001","121 S.Ct. 2404",2000,"00-596","Lorillard Tobacco v. Reilly"
"110",23,"XLP","MO","0.025214","0.021649","1.164694","0.244143","","6/28/2001","121 S.Ct. 2404",2000,"00-596","Lorillard Tobacco v. Reilly"
"111",23,"XLP","RAI","-0.003944","0.018427","-0.214034","0.830521","","6/28/2001","121 S.Ct. 2404",2000,"00-596","Lorillard Tobacco v. Reilly"
"112",23,"XLP","UVV","0.018079","0.014335","1.261151","0.207254","","6/28/2001","121 S.Ct. 2404",2000,"00-596","Lorillard Tobacco v. Reilly"
"113",23,"XLP","VGR","0.106829","0.050745","2.105233","0.035271","**","6/28/2001","121 S.Ct. 2404",2000,"00-596","Lorillard Tobacco v. Reilly"
"114",24,"SPY","TRW","0.022546","0.023862","0.944857","0.344732","","11/13/2001","122 S.Ct. 441",2001,"00-1045","TRW Inc. v. Andrews"
"115",24,"SPY","XLY","0.019271","0.010217","1.886166","0.059273","*","11/13/2001","122 S.Ct. 441",2001,"00-1045","TRW Inc. v. Andrews"
"116",24,"XLY","TRW","0.017295","0.024056","0.718937","0.472180","","11/13/2001","122 S.Ct. 441",2001,"00-1045","TRW Inc. v. Andrews"
"117",25,"SPY","CZR","0.006831","0.062497","0.109301","0.912964","","11/27/2001","122 S.Ct. 528",2001,"00-507","Chickasaw Nation v. U.S."
"118",25,"SPY","XLY","-0.010411","0.009769","-1.065730","0.286546","","11/27/2001","122 S.Ct. 528",2001,"00-507","Chickasaw Nation v. U.S."
"119",25,"XLY","CZR","-0.001451","0.062646","-0.023162","0.981521","","11/27/2001","122 S.Ct. 528",2001,"00-507","Chickasaw Nation v. U.S."
"120",26,"SPY","DD","0.012253","0.019902","0.615673","0.538111","","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"121",26,"SPY","DOW","-0.000555","0.020082","-0.027636","0.977952","","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"122",26,"SPY","MON","-0.001466","0.027374","-0.053554","0.957291","","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"123",26,"SPY","SYT","-0.004881","0.017522","-0.278569","0.780575","","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"124",26,"SPY","XLB","-0.015348","0.012806","-1.198481","0.230730","","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"125",26,"SPY","XLI","-0.015203","0.005684","-2.674899","0.007475","***","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"126",26,"SPY","XLP","0.038230","0.015522","2.462904","0.013782","**","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"127",26,"SPY","XLV","-0.006291","0.006281","-1.001563","0.316555","","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"128",26,"XLB","DD","-0.006375","0.021447","-0.297241","0.766283","","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"129",26,"XLB","DOW","-0.019772","0.021598","-0.915476","0.359942","","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"130",26,"XLB","MON","-0.009800","0.027097","-0.361658","0.717607","","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"131",26,"XLB","SYT","-0.003877","0.017524","-0.221242","0.824904","","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"132",26,"XLB","XLI","-0.016112","0.005693","-2.830233","0.004651","***","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"133",26,"XLB","XLP","0.036240","0.015550","2.330530","0.019778","**","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"134",26,"XLB","XLV","-0.005512","0.006297","-0.875390","0.381362","","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"135",26,"XLI","DD","-0.005979","0.021467","-0.278515","0.780617","","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"136",26,"XLI","DOW","-0.015916","0.021630","-0.735814","0.461844","","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"137",26,"XLI","MON","-0.009103","0.027352","-0.332808","0.739279","","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"138",26,"XLI","SYT","-0.006443","0.017506","-0.368041","0.712843","","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"139",26,"XLI","XLB","-0.018166","0.012839","-1.414933","0.157088","","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"140",26,"XLI","XLP","0.035853","0.015550","2.305730","0.021126","**","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"141",26,"XLI","XLV","-0.005246","0.006303","-0.832318","0.405230","","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"142",26,"XLP","DD","-0.003457","0.021459","-0.161097","0.872017","","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"143",26,"XLP","DOW","-0.014206","0.021584","-0.658174","0.510426","","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"144",26,"XLP","MON","-0.000272","0.027351","-0.009945","0.992065","","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"145",26,"XLP","SYT","-0.002944","0.017517","-0.168064","0.866533","","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"146",26,"XLP","XLB","-0.017472","0.012842","-1.360587","0.173644","","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"147",26,"XLP","XLI","-0.015833","0.005694","-2.780733","0.005424","***","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"148",26,"XLP","XLV","-0.003731","0.006275","-0.594601","0.552110","","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"149",26,"XLV","DD","-0.005378","0.021466","-0.250533","0.802175","","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"150",26,"XLV","DOW","-0.017123","0.021621","-0.791950","0.428390","","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"151",26,"XLV","MON","-0.003700","0.027396","-0.135057","0.892567","","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"152",26,"XLV","SYT","-0.002747","0.017444","-0.157480","0.874867","","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"153",26,"XLV","XLB","-0.017832","0.012828","-1.390045","0.164515","","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"154",26,"XLV","XLI","-0.016021","0.005694","-2.813734","0.004897","***","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"155",26,"XLV","XLP","0.035059","0.015480","2.264743","0.023528","**","12/10/2001","122 S.Ct. 593",2001,"99-1996","J.E.M. Ag Supply, v. Pioneer"
"156",27,"SPY","TM","0.013590","0.019395","0.700686","0.483499","","1/8/2002","122 S.Ct. 681",2001,"00-1089","Toyota v. Williams"
"157",27,"SPY","XLY","-0.002370","0.012151","-0.195040","0.845362","","1/8/2002","122 S.Ct. 681",2001,"00-1089","Toyota v. Williams"
"158",27,"XLY","TM","0.013895","0.019346","0.718239","0.472610","","1/8/2002","122 S.Ct. 681",2001,"00-1089","Toyota v. Williams"
"159",28,"SPY","GWO","0.027505","0.011915","2.308379","0.020978","**","1/8/2002","122 S.Ct. 708",2001,"99-1786","Great-West Life & Annuity Ins. v. Knudson"
"160",29,"SPY","RIG","0.006751","0.039220","0.172134","0.863333","","1/9/2002","122 S.Ct. 738",2001,"00-927","Chao, Sec'y of Labor v. Mallard Bay Drilling"
"161",29,"SPY","XLE","0.038277","0.018946","2.020349","0.043347","**","1/9/2002","122 S.Ct. 738",2001,"00-927","Chao, Sec'y of Labor v. Mallard Bay Drilling"
"162",29,"XLE","RIG","-0.014637","0.040292","-0.363273","0.716401","","1/9/2002","122 S.Ct. 738",2001,"00-927","Chao, Sec'y of Labor v. Mallard Bay Drilling"
"163",30,"SPY","CMCSA","-0.030909","0.019076","-1.620325","0.105163","","1/16/2002","122 S.Ct. 782",2001,"00-832","Nat'l Cable & Telecomm. Ass'n v. Gulf Power"
"164",30,"SPY","DISH","-0.009570","0.026425","-0.362151","0.717239","","1/16/2002","122 S.Ct. 782",2001,"00-832","Nat'l Cable & Telecomm. Ass'n v. Gulf Power"
"165",30,"SPY","T","-0.025846","0.020929","-1.234937","0.216854","","1/16/2002","122 S.Ct. 782",2001,"00-832","Nat'l Cable & Telecomm. Ass'n v. Gulf Power"
"166",30,"SPY","VZ","-0.015590","0.017042","-0.914788","0.360303","","1/16/2002","122 S.Ct. 782",2001,"00-832","Nat'l Cable & Telecomm. Ass'n v. Gulf Power"
"167",30,"SPY","IYZ","0.009134","0.010877","0.839723","0.401064","","1/16/2002","122 S.Ct. 782",2001,"00-832","Nat'l Cable & Telecomm. Ass'n v. Gulf Power"
"168",30,"SPY","XLY","-0.012909","0.009097","-1.418984","0.155904","","1/16/2002","122 S.Ct. 782",2001,"00-832","Nat'l Cable & Telecomm. Ass'n v. Gulf Power"
