case,index,symbol,estimate,error,t_value,p_value,sig,date_decision_x,sct_cite_x,term_x,docket_x,case_short_name_x,case_disposition,case_name,date_argument,date_decision_y,docket_y,issue,issue_area,law_type,lc_disagreement,petitioner,respondent,sct_cite_y,case_short_name_y,term_y,vote_margin,abs_estimate,delay_argued,delay_argued_months,petitioner_name,respondent_name,case_disposition_name
4,SPY,WMT,-0.059914,0.045165,-1.326559,0.18465499999999999,,3/22/2000,120 S.Ct. 1339,1999,99-150,Wal-Mart v. Samara Bros.,4.0,"WAL-MART STORES, INC. v. SAMARA BROTHERS, INC.",1/19/2000,3/22/2000,99-150,80200.0,8.0,6.0,0.0,238.0,184.0,120 S.Ct. 1339,Wal-Mart v. Samara Bros.,1999.0,9.0,0.059914,63,2,retail business or outlet,manufacturer,Reversed and Remanded
4,SPY,XLY,0.010851000000000001,0.015444999999999999,0.702544,0.48234,,3/22/2000,120 S.Ct. 1339,1999,99-150,Wal-Mart v. Samara Bros.,4.0,"WAL-MART STORES, INC. v. SAMARA BROTHERS, INC.",1/19/2000,3/22/2000,99-150,80200.0,8.0,6.0,0.0,238.0,184.0,120 S.Ct. 1339,Wal-Mart v. Samara Bros.,1999.0,9.0,0.010851000000000001,63,2,retail business or outlet,manufacturer,Reversed and Remanded
4,XLY,WMT,-0.08309,0.050025,-1.660986,0.096716,*,3/22/2000,120 S.Ct. 1339,1999,99-150,Wal-Mart v. Samara Bros.,4.0,"WAL-MART STORES, INC. v. SAMARA BROTHERS, INC.",1/19/2000,3/22/2000,99-150,80200.0,8.0,6.0,0.0,238.0,184.0,120 S.Ct. 1339,Wal-Mart v. Samara Bros.,1999.0,9.0,0.08309,63,2,retail business or outlet,manufacturer,Reversed and Remanded
5,SPY,ABT,0.09665900000000001,0.039527,2.44537,0.014469999999999998,**,4/3/2000,120 S.Ct. 1578,1999,99-391,Robin Free v. Abbott Labs,2.0,"ROBIN FREE, et al. v. ABBOTT LABORATORIES, INC., et al.",3/27/2000,4/3/2000,99-391,,,,0.0,501.0,143.0,120 S.Ct. 1578,Robin Free v. Abbott Labs,1999.0,0.0,0.09665900000000001,7,0,Unidentifiable,drug manufacturer,Affirmed
5,SPY,BMY,0.086523,0.031689999999999996,2.730263,0.006328,***,4/3/2000,120 S.Ct. 1578,1999,99-391,Robin Free v. Abbott Labs,2.0,"ROBIN FREE, et al. v. ABBOTT LABORATORIES, INC., et al.",3/27/2000,4/3/2000,99-391,,,,0.0,501.0,143.0,120 S.Ct. 1578,Robin Free v. Abbott Labs,1999.0,0.0,0.086523,7,0,Unidentifiable,drug manufacturer,Affirmed
5,SPY,JNJ,0.07512,0.026169,2.8705830000000003,0.004097,***,4/3/2000,120 S.Ct. 1578,1999,99-391,Robin Free v. Abbott Labs,2.0,"ROBIN FREE, et al. v. ABBOTT LABORATORIES, INC., et al.",3/27/2000,4/3/2000,99-391,,,,0.0,501.0,143.0,120 S.Ct. 1578,Robin Free v. Abbott Labs,1999.0,0.0,0.07512,7,0,Unidentifiable,drug manufacturer,Affirmed
5,SPY,XLV,0.008657,0.006337,1.366054,0.171922,,4/3/2000,120 S.Ct. 1578,1999,99-391,Robin Free v. Abbott Labs,2.0,"ROBIN FREE, et al. v. ABBOTT LABORATORIES, INC., et al.",3/27/2000,4/3/2000,99-391,,,,0.0,501.0,143.0,120 S.Ct. 1578,Robin Free v. Abbott Labs,1999.0,0.0,0.008657,7,0,Unidentifiable,drug manufacturer,Affirmed
5,XLV,ABT,0.091958,0.039603,2.32198,0.020234000000000002,**,4/3/2000,120 S.Ct. 1578,1999,99-391,Robin Free v. Abbott Labs,2.0,"ROBIN FREE, et al. v. ABBOTT LABORATORIES, INC., et al.",3/27/2000,4/3/2000,99-391,,,,0.0,501.0,143.0,120 S.Ct. 1578,Robin Free v. Abbott Labs,1999.0,0.0,0.091958,7,0,Unidentifiable,drug manufacturer,Affirmed
5,XLV,BMY,0.078527,0.032338,2.428318,0.015169,**,4/3/2000,120 S.Ct. 1578,1999,99-391,Robin Free v. Abbott Labs,2.0,"ROBIN FREE, et al. v. ABBOTT LABORATORIES, INC., et al.",3/27/2000,4/3/2000,99-391,,,,0.0,501.0,143.0,120 S.Ct. 1578,Robin Free v. Abbott Labs,1999.0,0.0,0.078527,7,0,Unidentifiable,drug manufacturer,Affirmed
5,XLV,JNJ,0.066447,0.026861000000000003,2.473747,0.013369999999999998,**,4/3/2000,120 S.Ct. 1578,1999,99-391,Robin Free v. Abbott Labs,2.0,"ROBIN FREE, et al. v. ABBOTT LABORATORIES, INC., et al.",3/27/2000,4/3/2000,99-391,,,,0.0,501.0,143.0,120 S.Ct. 1578,Robin Free v. Abbott Labs,1999.0,0.0,0.066447,7,0,Unidentifiable,drug manufacturer,Affirmed
6,SPY,CSX,0.020419999999999997,0.051807000000000006,0.394154,0.6934670000000001,,4/17/2000,120 S.Ct. 1467,1999,99-312,Norfolk Southern v. Shanklin,4.0,"NORFOLK SOUTHERN RAILWAY COMPANY v. DEDRA SHANKLIN, INDIVIDUALLY, AND AS NEXT FRIEND OF JESSIE GUY SHANKLIN",3/1/2000,4/17/2000,99-312,100020.0,10.0,6.0,0.0,231.0,208.0,120 S.Ct. 1467,Norfolk Southern v. Shanklin,1999.0,5.0,0.020419999999999997,47,1,railroad,"physically injured person, inclu",Reversed and Remanded
6,SPY,KSU,0.151437,0.049391000000000004,3.066079,0.002169,***,4/17/2000,120 S.Ct. 1467,1999,99-312,Norfolk Southern v. Shanklin,4.0,"NORFOLK SOUTHERN RAILWAY COMPANY v. DEDRA SHANKLIN, INDIVIDUALLY, AND AS NEXT FRIEND OF JESSIE GUY SHANKLIN",3/1/2000,4/17/2000,99-312,100020.0,10.0,6.0,0.0,231.0,208.0,120 S.Ct. 1467,Norfolk Southern v. Shanklin,1999.0,5.0,0.151437,47,1,railroad,"physically injured person, inclu",Reversed and Remanded
6,SPY,NSC,-0.035952,0.06699,-0.536673,0.591493,,4/17/2000,120 S.Ct. 1467,1999,99-312,Norfolk Southern v. Shanklin,4.0,"NORFOLK SOUTHERN RAILWAY COMPANY v. DEDRA SHANKLIN, INDIVIDUALLY, AND AS NEXT FRIEND OF JESSIE GUY SHANKLIN",3/1/2000,4/17/2000,99-312,100020.0,10.0,6.0,0.0,231.0,208.0,120 S.Ct. 1467,Norfolk Southern v. Shanklin,1999.0,5.0,0.035952,47,1,railroad,"physically injured person, inclu",Reversed and Remanded
6,SPY,UNP,-0.0038469999999999997,0.032566000000000005,-0.118128,0.9059659999999999,,4/17/2000,120 S.Ct. 1467,1999,99-312,Norfolk Southern v. Shanklin,4.0,"NORFOLK SOUTHERN RAILWAY COMPANY v. DEDRA SHANKLIN, INDIVIDUALLY, AND AS NEXT FRIEND OF JESSIE GUY SHANKLIN",3/1/2000,4/17/2000,99-312,100020.0,10.0,6.0,0.0,231.0,208.0,120 S.Ct. 1467,Norfolk Southern v. Shanklin,1999.0,5.0,0.0038469999999999997,47,1,railroad,"physically injured person, inclu",Reversed and Remanded
6,SPY,XLI,-0.022577,0.015344,-1.471403,0.141182,,4/17/2000,120 S.Ct. 1467,1999,99-312,Norfolk Southern v. Shanklin,4.0,"NORFOLK SOUTHERN RAILWAY COMPANY v. DEDRA SHANKLIN, INDIVIDUALLY, AND AS NEXT FRIEND OF JESSIE GUY SHANKLIN",3/1/2000,4/17/2000,99-312,100020.0,10.0,6.0,0.0,231.0,208.0,120 S.Ct. 1467,Norfolk Southern v. Shanklin,1999.0,5.0,0.022577,47,1,railroad,"physically injured person, inclu",Reversed and Remanded
6,XLI,CSX,0.040726,0.053242,0.7649199999999999,0.44431899999999996,,4/17/2000,120 S.Ct. 1467,1999,99-312,Norfolk Southern v. Shanklin,4.0,"NORFOLK SOUTHERN RAILWAY COMPANY v. DEDRA SHANKLIN, INDIVIDUALLY, AND AS NEXT FRIEND OF JESSIE GUY SHANKLIN",3/1/2000,4/17/2000,99-312,100020.0,10.0,6.0,0.0,231.0,208.0,120 S.Ct. 1467,Norfolk Southern v. Shanklin,1999.0,5.0,0.040726,47,1,railroad,"physically injured person, inclu",Reversed and Remanded
6,XLI,KSU,0.178836,0.051477999999999996,3.4740230000000003,0.000513,***,4/17/2000,120 S.Ct. 1467,1999,99-312,Norfolk Southern v. Shanklin,4.0,"NORFOLK SOUTHERN RAILWAY COMPANY v. DEDRA SHANKLIN, INDIVIDUALLY, AND AS NEXT FRIEND OF JESSIE GUY SHANKLIN",3/1/2000,4/17/2000,99-312,100020.0,10.0,6.0,0.0,231.0,208.0,120 S.Ct. 1467,Norfolk Southern v. Shanklin,1999.0,5.0,0.178836,47,1,railroad,"physically injured person, inclu",Reversed and Remanded
6,XLI,NSC,-0.016658000000000003,0.067725,-0.245966,0.805709,,4/17/2000,120 S.Ct. 1467,1999,99-312,Norfolk Southern v. Shanklin,4.0,"NORFOLK SOUTHERN RAILWAY COMPANY v. DEDRA SHANKLIN, INDIVIDUALLY, AND AS NEXT FRIEND OF JESSIE GUY SHANKLIN",3/1/2000,4/17/2000,99-312,100020.0,10.0,6.0,0.0,231.0,208.0,120 S.Ct. 1467,Norfolk Southern v. Shanklin,1999.0,5.0,0.016658000000000003,47,1,railroad,"physically injured person, inclu",Reversed and Remanded
6,XLI,UNP,0.010173,0.033013,0.308155,0.7579640000000001,,4/17/2000,120 S.Ct. 1467,1999,99-312,Norfolk Southern v. Shanklin,4.0,"NORFOLK SOUTHERN RAILWAY COMPANY v. DEDRA SHANKLIN, INDIVIDUALLY, AND AS NEXT FRIEND OF JESSIE GUY SHANKLIN",3/1/2000,4/17/2000,99-312,100020.0,10.0,6.0,0.0,231.0,208.0,120 S.Ct. 1467,Norfolk Southern v. Shanklin,1999.0,5.0,0.010173,47,1,railroad,"physically injured person, inclu",Reversed and Remanded
7,SPY,PLA,-0.083455,0.031955000000000004,-2.611641,0.009011,***,5/22/2000,120 S.Ct. 1878,1999,98-1682,U.S. v. Playboy,2.0,"UNITED STATES, et al. v. PLAYBOY ENTERTAINMENT GROUP, INC.",11/30/1999,5/22/2000,98-1682,30010.0,3.0,6.0,0.0,27.0,124.0,120 S.Ct. 1878,U.S. v. Playboy,1999.0,1.0,0.083455,174,5,United States,cable TV,Affirmed
7,SPY,PLAA,-0.03227,0.022761,-1.417756,0.15626199999999998,,5/22/2000,120 S.Ct. 1878,1999,98-1682,U.S. v. Playboy,2.0,"UNITED STATES, et al. v. PLAYBOY ENTERTAINMENT GROUP, INC.",11/30/1999,5/22/2000,98-1682,30010.0,3.0,6.0,0.0,27.0,124.0,120 S.Ct. 1878,U.S. v. Playboy,1999.0,1.0,0.03227,174,5,United States,cable TV,Affirmed
7,SPY,XLY,-0.000528,0.005907,-0.089384,0.9287770000000001,,5/22/2000,120 S.Ct. 1878,1999,98-1682,U.S. v. Playboy,2.0,"UNITED STATES, et al. v. PLAYBOY ENTERTAINMENT GROUP, INC.",11/30/1999,5/22/2000,98-1682,30010.0,3.0,6.0,0.0,27.0,124.0,120 S.Ct. 1878,U.S. v. Playboy,1999.0,1.0,0.000528,174,5,United States,cable TV,Affirmed
7,XLY,PLA,-0.083393,0.031955000000000004,-2.609677,0.009063,***,5/22/2000,120 S.Ct. 1878,1999,98-1682,U.S. v. Playboy,2.0,"UNITED STATES, et al. v. PLAYBOY ENTERTAINMENT GROUP, INC.",11/30/1999,5/22/2000,98-1682,30010.0,3.0,6.0,0.0,27.0,124.0,120 S.Ct. 1878,U.S. v. Playboy,1999.0,1.0,0.083393,174,5,United States,cable TV,Affirmed
7,XLY,PLAA,-0.030769,0.02283,-1.347716,0.17775,,5/22/2000,120 S.Ct. 1878,1999,98-1682,U.S. v. Playboy,2.0,"UNITED STATES, et al. v. PLAYBOY ENTERTAINMENT GROUP, INC.",11/30/1999,5/22/2000,98-1682,30010.0,3.0,6.0,0.0,27.0,124.0,120 S.Ct. 1878,U.S. v. Playboy,1999.0,1.0,0.030769,174,5,United States,cable TV,Affirmed
8,SPY,GM,-0.041443,0.02792,-1.484345,0.137717,,5/22/2000,120 S.Ct. 1913,1999,98-1811,Alexis Geier v. Honda,2.0,"ALEXIS GEIER, et al. v. AMERICAN HONDA MOTOR COMPANY, INC., et al.",12/7/1999,5/22/2000,98-1811,100030.0,10.0,6.0,0.0,208.0,189.0,120 S.Ct. 1913,Alexis Geier v. Honda,1999.0,1.0,0.041443,167,5,"physically injured person, inclu",auto manufacturer,Affirmed
8,SPY,HMC,-0.004535,0.015,-0.302327,0.7624029999999999,,5/22/2000,120 S.Ct. 1913,1999,98-1811,Alexis Geier v. Honda,2.0,"ALEXIS GEIER, et al. v. AMERICAN HONDA MOTOR COMPANY, INC., et al.",12/7/1999,5/22/2000,98-1811,100030.0,10.0,6.0,0.0,208.0,189.0,120 S.Ct. 1913,Alexis Geier v. Honda,1999.0,1.0,0.004535,167,5,"physically injured person, inclu",auto manufacturer,Affirmed
8,SPY,TM,-0.009292,0.0076489999999999995,-1.2148,0.224442,,5/22/2000,120 S.Ct. 1913,1999,98-1811,Alexis Geier v. Honda,2.0,"ALEXIS GEIER, et al. v. AMERICAN HONDA MOTOR COMPANY, INC., et al.",12/7/1999,5/22/2000,98-1811,100030.0,10.0,6.0,0.0,208.0,189.0,120 S.Ct. 1913,Alexis Geier v. Honda,1999.0,1.0,0.009292,167,5,"physically injured person, inclu",auto manufacturer,Affirmed
8,SPY,XLY,-0.000528,0.005907,-0.089384,0.9287770000000001,,5/22/2000,120 S.Ct. 1913,1999,98-1811,Alexis Geier v. Honda,2.0,"ALEXIS GEIER, et al. v. AMERICAN HONDA MOTOR COMPANY, INC., et al.",12/7/1999,5/22/2000,98-1811,100030.0,10.0,6.0,0.0,208.0,189.0,120 S.Ct. 1913,Alexis Geier v. Honda,1999.0,1.0,0.000528,167,5,"physically injured person, inclu",auto manufacturer,Affirmed
8,XLY,GM,-0.043869,0.028064,-1.563153,0.11801700000000001,,5/22/2000,120 S.Ct. 1913,1999,98-1811,Alexis Geier v. Honda,2.0,"ALEXIS GEIER, et al. v. AMERICAN HONDA MOTOR COMPANY, INC., et al.",12/7/1999,5/22/2000,98-1811,100030.0,10.0,6.0,0.0,208.0,189.0,120 S.Ct. 1913,Alexis Geier v. Honda,1999.0,1.0,0.043869,167,5,"physically injured person, inclu",auto manufacturer,Affirmed
8,XLY,HMC,-0.004296,0.014961000000000002,-0.287139,0.7740060000000001,,5/22/2000,120 S.Ct. 1913,1999,98-1811,Alexis Geier v. Honda,2.0,"ALEXIS GEIER, et al. v. AMERICAN HONDA MOTOR COMPANY, INC., et al.",12/7/1999,5/22/2000,98-1811,100030.0,10.0,6.0,0.0,208.0,189.0,120 S.Ct. 1913,Alexis Geier v. Honda,1999.0,1.0,0.004296,167,5,"physically injured person, inclu",auto manufacturer,Affirmed
8,XLY,TM,-0.010083,0.007698999999999999,-1.309589,0.190335,,5/22/2000,120 S.Ct. 1913,1999,98-1811,Alexis Geier v. Honda,2.0,"ALEXIS GEIER, et al. v. AMERICAN HONDA MOTOR COMPANY, INC., et al.",12/7/1999,5/22/2000,98-1811,100030.0,10.0,6.0,0.0,208.0,189.0,120 S.Ct. 1913,Alexis Geier v. Honda,1999.0,1.0,0.010083,167,5,"physically injured person, inclu",auto manufacturer,Affirmed
9,SPY,ASB,0.0,0.0,,,,6/12/2000,120 S.Ct. 2180,1999,99-579,Harris Trust v. Salomon Smith Barney,4.0,"HARRIS TRUST AND SAVINGS BANK, ETC., et al. v. SALOMON SMITH BARNEY INC., et al.",4/17/2000,6/12/2000,99-579,80090.0,8.0,3.0,0.0,146.0,119.0,120 S.Ct. 2180,Harris Trust v. Salomon Smith Barney,1999.0,9.0,0.0,56,1,employer-employee trust agreemen,"broker, stock exchange, investme",Reversed and Remanded
9,SPY,XLF,0.053328999999999994,0.022413,2.379346,0.017343,**,6/12/2000,120 S.Ct. 2180,1999,99-579,Harris Trust v. Salomon Smith Barney,4.0,"HARRIS TRUST AND SAVINGS BANK, ETC., et al. v. SALOMON SMITH BARNEY INC., et al.",4/17/2000,6/12/2000,99-579,80090.0,8.0,3.0,0.0,146.0,119.0,120 S.Ct. 2180,Harris Trust v. Salomon Smith Barney,1999.0,9.0,0.053328999999999994,56,1,employer-employee trust agreemen,"broker, stock exchange, investme",Reversed and Remanded
9,XLF,ASB,0.0,0.0,,,,6/12/2000,120 S.Ct. 2180,1999,99-579,Harris Trust v. Salomon Smith Barney,4.0,"HARRIS TRUST AND SAVINGS BANK, ETC., et al. v. SALOMON SMITH BARNEY INC., et al.",4/17/2000,6/12/2000,99-579,80090.0,8.0,3.0,0.0,146.0,119.0,120 S.Ct. 2180,Harris Trust v. Salomon Smith Barney,1999.0,9.0,0.0,56,1,employer-employee trust agreemen,"broker, stock exchange, investme",Reversed and Remanded
10,SPY,MRO,0.0108,0.032688999999999996,0.330385,0.741109,,6/26/2000,120 S.Ct. 2423,1999,99-244,Exxon Mobil v. U.S.,4.0,"MOBIL OIL EXPLORATION AND PRODUCING SOUTHEAST, INC. v. UNITED STATES",3/22/2000,6/26/2000,99-244,80290.0,8.0,,1.0,198.0,27.0,120 S.Ct. 2423,Exxon Mobil v. U.S.,1999.0,6.0,0.0108,96,3,"oil company, or natural gas prod",United States,Reversed and Remanded
10,SPY,XOM,-0.022917,0.022088999999999998,-1.037506,0.2995,,6/26/2000,120 S.Ct. 2423,1999,99-244,Exxon Mobil v. U.S.,4.0,"MOBIL OIL EXPLORATION AND PRODUCING SOUTHEAST, INC. v. UNITED STATES",3/22/2000,6/26/2000,99-244,80290.0,8.0,,1.0,198.0,27.0,120 S.Ct. 2423,Exxon Mobil v. U.S.,1999.0,6.0,0.022917,96,3,"oil company, or natural gas prod",United States,Reversed and Remanded
10,SPY,XLE,-0.019562,0.016615,-1.177378,0.23904499999999998,,6/26/2000,120 S.Ct. 2423,1999,99-244,Exxon Mobil v. U.S.,4.0,"MOBIL OIL EXPLORATION AND PRODUCING SOUTHEAST, INC. v. UNITED STATES",3/22/2000,6/26/2000,99-244,80290.0,8.0,,1.0,198.0,27.0,120 S.Ct. 2423,Exxon Mobil v. U.S.,1999.0,6.0,0.019562,96,3,"oil company, or natural gas prod",United States,Reversed and Remanded
10,XLE,MRO,0.012043,0.032995,0.364998,0.715113,,6/26/2000,120 S.Ct. 2423,1999,99-244,Exxon Mobil v. U.S.,4.0,"MOBIL OIL EXPLORATION AND PRODUCING SOUTHEAST, INC. v. UNITED STATES",3/22/2000,6/26/2000,99-244,80290.0,8.0,,1.0,198.0,27.0,120 S.Ct. 2423,Exxon Mobil v. U.S.,1999.0,6.0,0.012043,96,3,"oil company, or natural gas prod",United States,Reversed and Remanded
10,XLE,XOM,-0.018809,0.023642,-0.79557,0.426282,,6/26/2000,120 S.Ct. 2423,1999,99-244,Exxon Mobil v. U.S.,4.0,"MOBIL OIL EXPLORATION AND PRODUCING SOUTHEAST, INC. v. UNITED STATES",3/22/2000,6/26/2000,99-244,80290.0,8.0,,1.0,198.0,27.0,120 S.Ct. 2423,Exxon Mobil v. U.S.,1999.0,6.0,0.018809,96,3,"oil company, or natural gas prod",United States,Reversed and Remanded
11,SPY,XLF,-0.023024,0.025594,-0.899573,0.368348,,11/28/2000,121 S.Ct. 462,2000,99-1038,E. Associated Coal v. United Mine Workers of Am.,2.0,"EASTERN ASSOCIATED COAL CORPORATION v. UNITED MINE WORKERS OF AMERICA, DISTRICT 17, et al.",10/2/2000,11/28/2000,99-1038,70080.0,7.0,6.0,0.0,151.0,249.0,121 S.Ct. 462,E. Associated Coal v. United Mine Workers of Am.,2000.0,9.0,0.023024,57,1,employer. If employer's relation,"union, labor organization, or of",Affirmed
12,SPY,BP,0.011498999999999999,0.019944,0.576553,0.564241,,12/4/2000,121 S.Ct. 471,2000,00-836,Bush v. Palm Beach Cnty. Canvassing Bd.,5.0,"GEORGE W. BUSH v. PALM BEACH COUNTY CANVASSING BOARD, et al.",12/1/2000,12/4/2000,00-836,90190.0,9.0,,0.0,211.0,18.0,121 S.Ct. 471,Bush v. Palm Beach Cnty. Canvassing Bd.,2000.0,9.0,0.011498999999999999,3,0,"political candidate, activist, c",local governmental unit other th,Vacated and Remanded
